step,trans_type,amount,nameOrig,oldbalanceOrg,nameDest,oldbalanceDest,accountType,isFraud,isFlaggedFraud
1,DEBIT,1065.41,C1959239586,1817.0,C515132998,10330.0,DOMESTIC,0,0
1,WIRE_IN,311685.89,C1984094095,10835.0,C932583850,6267.0,FOREIGN,0,0
1,DEBIT,5758.59,C1466917878,32604.0,C1297685781,209699.0,DOMESTIC,0,0
1,CASH_OUT,5346.89,C512549200,0.0,C248609774,652637.0,DOMESTIC,0,0
1,WIRE_OUT,62610.8,C1976401987,79114.0,C1937962514,517.0,FOREIGN,0,0
1,DEBIT,4510.22,C280615803,10256.0,C1254526270,10697.0,DOMESTIC,0,0
1,CASH_OUT,47458.86,C527211736,209534.84,C2096057945,52120.0,DOMESTIC,0,0
1,CASH_OUT,94253.33,C1718906711,25203.05,C977993101,99773.0,DOMESTIC,0,0
1,WIRE_IN,125872.53,C1443967876,0.0,C392292416,348512.0,FOREIGN,0,0
1,WIRE_OUT,379856.23,C1449772539,0.0,C1590550415,900180.0,FOREIGN,0,0
1,WIRE_OUT,1505626.01,C926859124,0.0,C665576141,29031.0,FOREIGN,0,0
1,WIRE_OUT,761507.39,C412788346,0.0,C1590550415,1280036.23,FOREIGN,0,0
1,WIRE_IN,1429051.47,C1520267010,0.0,C1590550415,2041543.62,FOREIGN,0,0
1,WIRE_IN,358831.92,C908084672,0.0,C392292416,474384.53,FOREIGN,0,0
1,WIRE_OUT,583848.46,C1839168128,0.0,C1286084959,667778.0,FOREIGN,0,0
1,WIRE_IN,1724887.05,C1495608502,0.0,C1590550415,3470595.1,FOREIGN,0,0
1,WIRE_OUT,581294.26,C843299092,0.0,C1590550415,5195482.15,FOREIGN,0,0
1,CASH_OUT,75405.1,C263053820,0.0,C1870252780,104209.0,DOMESTIC,0,0
1,CASH_OUT,50101.88,C1740826931,0.0,C97730845,67684.0,DOMESTIC,0,0
1,CASH_OUT,78292.91,C1631227617,0.0,C1983747920,121112.0,DOMESTIC,0,0
1,CASH_OUT,176149.9,C24650043,0.0,C736709391,259813.0,DOMESTIC,0,0
1,CASH_OUT,85423.63,C460741164,0.0,C1590550415,5776776.41,DOMESTIC,0,0
1,CASH_OUT,11648.5,C781091365,0.0,C985934102,260976.0,DOMESTIC,0,0
1,CASH_OUT,419801.4,C1687354037,38197.63,C33524623,499962.0,DOMESTIC,0,0
1,DEBIT,864.68,C1368862151,69836.0,C20671747,12040.0,DOMESTIC,0,0
1,WIRE_OUT,330757.04,C1494346128,103657.0,C564160838,79676.0,FOREIGN,0,0
1,WIRE_IN,679502.24,C722417467,290.0,C451111351,171866.0,FOREIGN,0,0
1,CASH_OUT,467177.03,C1338905451,28112.02,C1170794006,975121.0,DOMESTIC,0,0
1,CASH_OUT,154139.72,C1642679791,79563.03,C564160838,410433.04,DOMESTIC,0,0
1,CASH_OUT,82685.93,C855700733,0.0,C392292416,833216.44,DOMESTIC,0,0
1,CASH_OUT,83857.23,C247162961,0.0,C1297685781,215457.59,DOMESTIC,0,0
1,CASH_OUT,99109.77,C1890266440,0.0,C1297685781,299314.82,DOMESTIC,0,0
1,CASH_OUT,187726.67,C1527152775,0.0,C747464370,190573.0,DOMESTIC,0,0
1,CASH_OUT,186447.51,C976827477,0.0,C1590550415,5862200.03,DOMESTIC,0,0
1,CASH_OUT,154716.2,C980364771,0.0,C453211571,187433.0,DOMESTIC,0,0
1,CASH_OUT,289645.52,C1446001495,0.0,C1023714065,871442.79,DOMESTIC,0,0
1,CASH_OUT,89038.75,C1233327519,0.0,C2083562754,189808.0,DOMESTIC,0,0
1,CASH_OUT,1341.58,C1155769010,0.0,C557041912,80341.0,DOMESTIC,0,0
1,CASH_OUT,44443.08,C269892014,0.0,C1590550415,6048647.54,DOMESTIC,0,0
1,CASH_OUT,105979.34,C489411441,0.0,C736709391,435962.9,DOMESTIC,0,0
