,entity,incoming_domestic_amount_30,incoming_domestic_amount_60,incoming_domestic_amount_90,outgoing_domestic_amount_30,outgoing_domestic_amount_60,outgoing_domestic_amount_90,incoming_foreign_amount_30,incoming_foreign_amount_60,incoming_foreign_amount_90,outgoing_foreign_amount_30,outgoing_foreign_amount_60,outgoing_foreign_amount_90,incoming_domestic_count_30,incoming_domestic_count_60,incoming_domestic_count_90,outgoing_domestic_count_30,outgoing_domestic_count_60,outgoing_domestic_count_90,incoming_foreign_count_30,incoming_foreign_count_60,incoming_foreign_count_90,outgoing_foreign_count_30,outgoing_foreign_count_60,outgoing_foreign_count_90,balance_difference_30,balance_difference_60,balance_difference_90,isFraud
0,C1959239586,0.0,0.0,0.0,1065.41,1065.41,1065.41,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-1065.41,-1065.41,-1065.41,0
1,C515132998,4893143.86,5308368.21,5308368.21,2370100.4299999997,2370100.4299999997,2370100.4299999997,3631940.72,3631940.72,3631940.72,8114189.23,8114189.23,8114189.23,23,25,25,13,13,13,4,4,4,9,9,9,0.0,0.0,0.0,0
2,C1984094095,0.0,0.0,0.0,0.0,0.0,0.0,311685.89,311685.89,311685.89,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,311685.89,311685.89,311685.89,0
3,C932583850,8190249.950000001,8198915.990000001,8198915.990000001,4864266.490000001,4864266.490000001,4864266.490000001,3260837.4399999995,3260837.4399999995,3260837.4399999995,6710338.849999999,8355281.319999998,8355281.319999998,28,29,29,23,23,23,4,4,4,9,10,10,0.0,0.0,0.0,0
4,C1466917878,0.0,0.0,0.0,5758.59,5758.59,5758.59,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-5758.59,-5758.59,-5758.59,0
5,C1297685781,3733975.3300000005,4035493.690000001,4035493.690000001,4467364.41,4942813.4,4942813.4,6087934.25,6087934.25,6087934.25,8456297.64,9340081.950000001,9340081.950000001,21,25,25,20,21,21,6,6,6,5,6,6,0.0,0.0,0.0,0
6,C512549200,0.0,0.0,0.0,5346.89,5346.89,5346.89,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-5346.89,-5346.89,-5346.89,0
7,C248609774,6277783.739999998,6622705.519999999,6622705.519999999,6181920.85,6181920.85,6181920.85,10146855.149999999,10146855.149999999,10146855.149999999,14565007.65,14565007.65,14565007.65,33,34,34,30,30,30,10,10,10,14,14,14,0.0,0.0,0.0,0
8,C1976401987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62610.8,62610.8,62610.8,0,0,0,0,0,0,0,0,0,1,1,1,-62610.8,-62610.8,-62610.8,0
9,C1937962514,3611310.21,3966083.0700000003,3966083.0700000003,1727129.6600000001,2114859.18,2114859.18,1458632.5499999998,1458632.5499999998,1458632.5499999998,401764.19999999995,2410795.5700000003,2410795.5700000003,23,25,25,7,9,9,4,4,4,2,3,3,0.0,0.0,0.0,0
10,C280615803,0.0,0.0,0.0,4510.22,4510.22,4510.22,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-4510.22,-4510.22,-4510.22,0
11,C1254526270,3301135.5199999996,4137276.2099999995,4137276.2099999995,1932073.97,2162489.14,2162489.14,4009000.93,4154739.27,4154739.27,1120827.05,1120827.05,1120827.05,18,23,23,13,15,15,5,7,7,3,3,3,0.0,0.0,0.0,0
12,C527211736,0.0,0.0,0.0,47458.86,47458.86,47458.86,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-47458.860000000015,-47458.860000000015,-47458.860000000015,0
13,C2096057945,2296915.0199999996,3095288.8399999994,3095288.8399999994,2674803.1900000004,2995534.7500000005,2995534.7500000005,3921173.89,5791402.55,5791402.55,4498729.65,4686784.71,4686784.71,12,17,17,11,12,12,3,4,4,7,8,8,0.0,0.0,0.0,0
14,C1718906711,0.0,0.0,0.0,94253.33,94253.33,94253.33,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-94253.33,-94253.33,-94253.33,0
15,C977993101,6486215.350000001,7038051.330000001,7038051.330000001,5257590.380000001,5368835.69,5368835.69,3506146.46,3506146.46,3506146.46,3037597.19,3037597.19,3037597.19,39,41,41,30,31,31,6,6,6,4,4,4,0.0,0.0,0.0,0
16,C1443967876,0.0,0.0,0.0,0.0,0.0,0.0,125872.53,125872.53,125872.53,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,125872.53,125872.53,125872.53,0
17,C392292416,5491340.370000001,5527443.530000001,5527443.530000001,5357394.289999998,5908887.469999999,5908887.469999999,3332741.24,3345516.77,3345516.77,5884420.359999999,6607477.869999999,6607477.869999999,28,30,30,24,28,28,3,4,4,9,10,10,0.0,0.0,0.0,0
18,C1449772539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379856.23,379856.23,379856.23,0,0,0,0,0,0,0,0,0,1,1,1,-379856.23,-379856.23,-379856.23,0
19,C1590550415,5949414.51,6692884.47,6692884.47,6984659.22,7420539.659999999,7420539.659999999,15768843.94,15768843.94,15768843.94,10581551.98,10581551.98,10581551.98,27,32,32,34,36,36,12,12,12,8,8,8,0.0,0.0,0.0,0
20,C926859124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505626.01,1505626.01,1505626.01,0,0,0,0,0,0,0,0,0,1,1,1,-1505626.01,-1505626.01,-1505626.01,0
21,C665576141,6900433.650000001,7253153.650000001,7253153.650000001,7505607.819999999,7505607.819999999,7505607.819999999,14624597.43,14741182.42,14741182.42,10279935.6,11408921.48,11408921.48,29,30,30,31,31,31,14,15,15,10,11,11,0.0,0.0,0.0,0
22,C412788346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761507.39,761507.39,761507.39,0,0,0,0,0,0,0,0,0,1,1,1,-761507.39,-761507.39,-761507.39,0
23,C1520267010,0.0,0.0,0.0,0.0,0.0,0.0,1429051.47,1429051.47,1429051.47,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,1429051.47,1429051.47,1429051.47,0
24,C908084672,0.0,0.0,0.0,0.0,0.0,0.0,358831.92,358831.92,358831.92,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,358831.92,358831.92,358831.92,0
25,C1839168128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583848.46,583848.46,583848.46,0,0,0,0,0,0,0,0,0,1,1,1,-583848.46,-583848.46,-583848.46,0
26,C1286084959,8440312.759999998,9017323.419999998,9017323.419999998,6213056.369999999,7215711.579999999,7215711.579999999,9534244.120000001,9534244.120000001,9534244.120000001,7287823.42,8054014.9799999995,8054014.9799999995,36,38,38,28,32,32,13,13,13,10,13,13,0.0,0.0,0.0,0
27,C1495608502,0.0,0.0,0.0,0.0,0.0,0.0,1724887.05,1724887.05,1724887.05,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,1724887.05,1724887.05,1724887.05,0
28,C843299092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581294.26,581294.26,581294.26,0,0,0,0,0,0,0,0,0,1,1,1,-581294.26,-581294.26,-581294.26,0
29,C263053820,0.0,0.0,0.0,75405.1,75405.1,75405.1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-75405.1,-75405.1,-75405.1,0
30,C1870252780,5395975.47,5395975.47,5395975.47,4101539.3100000005,4473350.65,4473350.65,5427005.59,6054893.51,6054893.51,4769597.84,4889926.13,4889926.13,27,27,27,19,21,21,5,6,6,5,6,6,0.0,0.0,0.0,0
31,C1740826931,0.0,0.0,0.0,50101.88,50101.88,50101.88,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-50101.88,-50101.88,-50101.88,0
32,C97730845,5918962.449999999,7136135.359999999,7136135.359999999,5879713.49,5879713.49,5879713.49,9427591.79,9427591.79,9427591.79,18582287.07,19368064.11,19368064.11,28,33,33,25,25,25,7,7,7,13,14,14,0.0,0.0,0.0,0
33,C1631227617,0.0,0.0,0.0,78292.91,78292.91,78292.91,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-78292.91,-78292.91,-78292.91,0
34,C1983747920,4575735.27,5331330.239999999,5331330.239999999,3483319.0600000005,3587750.1700000004,3587750.1700000004,5142853.82,6978044.32,6978044.32,2331828.99,2331828.99,2331828.99,23,25,25,17,18,18,8,9,9,2,2,2,0.0,0.0,0.0,0
35,C24650043,0.0,0.0,0.0,176149.9,176149.9,176149.9,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-176149.9,-176149.9,-176149.9,0
36,C736709391,3953350.51,5295946.29,5295946.29,2594585.57,2594585.57,2594585.57,322841.0,322841.0,322841.0,723507.7,723507.7,723507.7,21,26,26,14,14,14,1,1,1,2,2,2,0.0,0.0,0.0,0
37,C460741164,0.0,0.0,0.0,85423.63,85423.63,85423.63,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-85423.63,-85423.63,-85423.63,0
38,C781091365,0.0,0.0,0.0,11648.5,11648.5,11648.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-11648.5,-11648.5,-11648.5,0
39,C985934102,8088541.049999999,8272073.509999999,8272073.509999999,10080947.120000001,10080947.120000001,10080947.120000001,10528261.89,11235331.020000001,11235331.020000001,3019847.9499999997,3180788.3499999996,3180788.3499999996,32,33,33,41,41,41,14,15,15,6,7,7,0.0,0.0,0.0,0
40,C1687354037,0.0,0.0,0.0,419801.4,419801.4,419801.4,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-419801.4,-419801.4,-419801.4,0
41,C33524623,6402338.18,6639588.899999999,6639588.899999999,4688582.050000001,4962027.700000001,4962027.700000001,663779.49,663779.49,663779.49,5494144.17,5494144.17,5494144.17,27,28,28,22,24,24,3,3,3,9,9,9,0.0,0.0,0.0,0
42,C1368862151,0.0,0.0,0.0,864.68,864.68,864.68,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-864.679999999993,-864.679999999993,-864.679999999993,0
43,C20671747,4364736.220000001,5468739.780000001,5468739.780000001,1424699.5100000002,1737048.9800000004,1737048.9800000004,728013.42,1951430.31,1951430.31,1470119.4300000002,2670315.2600000002,2670315.2600000002,22,26,26,10,13,13,1,3,3,3,4,4,0.0,0.0,0.0,0
44,C1494346128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330757.04,330757.04,330757.04,0,0,0,0,0,0,0,0,0,1,1,1,-330757.04,-330757.04,-330757.04,0
45,C564160838,1887805.0599999998,1887805.0599999998,1887805.0599999998,5774026.480000001,5774026.480000001,5774026.480000001,2361820.29,2361820.29,2361820.29,708478.3,708478.3,708478.3,12,12,12,27,27,27,5,5,5,3,3,3,0.0,0.0,0.0,0
46,C722417467,0.0,0.0,0.0,0.0,0.0,0.0,679502.24,679502.24,679502.24,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,679502.24,679502.24,679502.24,0
47,C451111351,2765666.02,3239317.21,3239317.21,7845783.739999999,8183577.79,8183577.79,11123786.090000002,11123786.090000002,11123786.090000002,8659694.25,8659694.25,8659694.25,20,22,22,36,38,38,10,10,10,10,10,10,0.0,0.0,0.0,0
48,C1338905451,0.0,0.0,0.0,467177.03,467177.03,467177.03,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-467177.03,-467177.03,-467177.03,0
49,C1170794006,4094619.159999999,5811119.459999999,5811119.459999999,1239150.04,1594871.42,1594871.42,3794724.87,3794724.87,3794724.87,2793491.12,2793491.12,2793491.12,18,23,23,10,12,12,4,4,4,4,4,4,0.0,0.0,0.0,0
50,C1642679791,0.0,0.0,0.0,154139.72,154139.72,154139.72,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-154139.72,-154139.72,-154139.72,0
51,C855700733,0.0,0.0,0.0,82685.93,82685.93,82685.93,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-82685.93,-82685.93,-82685.93,0
52,C247162961,0.0,0.0,0.0,83857.23,83857.23,83857.23,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-83857.23,-83857.23,-83857.23,0
53,C1890266440,0.0,0.0,0.0,99109.77,99109.77,99109.77,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-99109.77,-99109.77,-99109.77,0
54,C1527152775,0.0,0.0,0.0,187726.67,187726.67,187726.67,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-187726.67,-187726.67,-187726.67,0
55,C747464370,3504587.0799999996,3662640.51,3662640.51,3683997.7799999993,3683997.7799999993,3683997.7799999993,1154573.06,1154573.06,1154573.06,2063005.6,2063005.6,2063005.6,21,23,23,14,14,14,4,4,4,5,5,5,0.0,0.0,0.0,0
56,C976827477,0.0,0.0,0.0,186447.51,186447.51,186447.51,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-186447.51,-186447.51,-186447.51,0
57,C980364771,0.0,0.0,0.0,154716.2,154716.2,154716.2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-154716.2,-154716.2,-154716.2,0
58,C453211571,6475674.749999999,6735562.51,6735562.51,4127958.08,4424908.890000001,4424908.890000001,8388969.41,8815494.95,8815494.95,1954683.73,1954683.73,1954683.73,30,32,32,20,23,23,8,9,9,3,3,3,0.0,0.0,0.0,0
59,C1446001495,0.0,0.0,0.0,289645.52,289645.52,289645.52,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-289645.52,-289645.52,-289645.52,0
60,C1023714065,6655556.610000001,6897181.540000002,6897181.540000002,6457985.76,6831596.9799999995,6831596.9799999995,3631639.5999999996,3631639.5999999996,3631639.5999999996,7848099.109999999,8001488.379999999,8001488.379999999,28,30,30,29,30,30,5,5,5,6,7,7,0.0,0.0,0.0,0
61,C1233327519,0.0,0.0,0.0,89038.75,89038.75,89038.75,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-89038.75,-89038.75,-89038.75,0
62,C2083562754,7610666.300000001,8008342.200000001,8008342.200000001,5152244.750000001,5152244.750000001,5152244.750000001,16362379.860000001,16362379.860000001,16362379.860000001,5626837.850000001,5626837.850000001,5626837.850000001,38,40,40,28,28,28,13,13,13,5,5,5,0.0,0.0,0.0,0
63,C1155769010,0.0,0.0,0.0,1341.58,1341.58,1341.58,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,-1341.58,-1341.58,-1341.58,0
