entity,incoming_domestic_amount_30,incoming_domestic_amount_60,incoming_domestic_amount_90,outgoing_domestic_amount_30,outgoing_domestic_amount_60,outgoing_domestic_amount_90,incoming_foreign_amount_30,incoming_foreign_amount_60,incoming_foreign_amount_90,outgoing_foreign_amount_30,outgoing_foreign_amount_60,outgoing_foreign_amount_90,incoming_domestic_count_30,incoming_domestic_count_60,incoming_domestic_count_90,outgoing_domestic_count_30,outgoing_domestic_count_60,outgoing_domestic_count_90,incoming_foreign_count_30,incoming_foreign_count_60,incoming_foreign_count_90,outgoing_foreign_count_30,outgoing_foreign_count_60,outgoing_foreign_count_90,balance_difference_30,balance_difference_60,balance_difference_90,fraudPrediction,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
C1163480574,3655225.63,4008111.88,4008111.88,2723052.22,2981522.92,2981522.92,5917322.629999999,6021845.479999999,6021845.479999999,3343627.96,3343627.96,3343627.96,18,21,21,13,14,14,4,5,5,2,2,2,0.0,0.0,0.0,1,7,TRANSFER,461344.77,C43411802,140535.0,0.0,C1163480574,31452.0,1798734.57,1,0
C715819458,3256721.0,3848760.59,3848760.59,2503756.2800000003,2503756.2800000003,2503756.2800000003,4619476.51,4619476.51,4619476.51,3834973.26,3834973.26,3834973.26,17,23,23,12,12,12,7,7,7,5,5,5,0.0,0.0,0.0,1,6,TRANSFER,211207.36,C1243762708,0.0,0.0,C715819458,424008.0,484595.24,1,0
C1515704208,3970994.18,4525436.699999999,4525436.699999999,1474801.44,2047727.16,2047727.16,2439316.82,2439316.82,2439316.82,7056198.34,8342834.92,8342834.92,21,24,24,9,11,11,3,3,3,6,8,8,0.0,0.0,0.0,1,6,CASH_IN,202246.61,C143929038,6805261.07,7007507.67,C1515704208,238677.0,9973139.6,1,0
C837153776,2845603.39,3831672.64,3831672.64,906415.68,1607069.3099999998,1607069.3099999998,1271513.39,2877957.05,2877957.05,6606848.450000001,9622027.29,9622027.29,13,19,19,7,10,10,2,4,4,6,8,8,0.0,0.0,0.0,1,8,CASH_OUT,93405.71,C1583266684,0.0,0.0,C837153776,8805012.93,8734044.41,1,0
C1909597726,4141868.63,5039383.2,5039383.2,3589864.4599999995,4237572.23,4237572.23,3137164.89,4035499.26,4035499.26,2788003.45,2788003.45,2788003.45,24,29,29,17,20,20,7,8,8,2,2,2,0.0,0.0,0.0,1,7,CASH_OUT,65593.85,C227339492,0.0,0.0,C1909597726,147470.0,267798.33,1,0
C1590550415,5949414.51,6692884.47,6692884.47,6984659.22,7420539.659999999,7420539.659999999,15768843.94,15768843.94,15768843.94,10581551.98,10581551.98,10581551.98,27,32,32,34,36,36,12,12,12,8,8,8,0.0,0.0,0.0,1,1,TRANSFER,379856.23,C1449772539,0.0,0.0,C1590550415,900180.0,19200000.0,1,0
C644345897,4113669.69,4897640.180000001,4897640.180000001,3194667.43,3194667.43,3194667.43,1241792.73,1241792.73,1241792.73,1040074.87,4734795.44,4734795.44,14,19,19,19,19,19,3,3,3,1,3,3,0.0,0.0,0.0,1,1,CASH_IN,24105.5,C422522663,144.0,24249.5,C644345897,20875.0,0.0,1,0
C1028574311,4998918.589999999,5169163.689999999,5169163.689999999,2047199.27,2047199.27,2047199.27,5933256.0,5933256.0,5933256.0,2659593.02,2659593.02,2659593.02,21,22,22,12,12,12,5,5,5,2,2,2,0.0,0.0,0.0,1,7,TRANSFER,518041.64,C1342613143,42686.16,0.0,C1028574311,0.0,1305828.01,1,0
C1406749291,4268568.649999999,4726904.629999999,4726904.629999999,2496701.7800000003,3273782.1700000004,3273782.1700000004,1305561.65,1305561.65,1305561.65,405206.03,2957706.16,2957706.16,19,20,20,14,18,18,2,2,2,2,3,3,0.0,0.0,0.0,1,7,CASH_OUT,210065.03,C184456619,0.0,0.0,C1406749291,434239.0,1357168.27,1,0
C451111351,2765666.02,3239317.21,3239317.21,7845783.739999999,8183577.79,8183577.79,11123786.090000002,11123786.090000002,11123786.090000002,8659694.25,8659694.25,8659694.25,20,22,22,36,38,38,10,10,10,10,10,10,0.0,0.0,0.0,1,1,TRANSFER,679502.24,C722417467,290.0,0.0,C451111351,171866.0,3940085.21,1,0
